44,7.2,Coummunity Reporting Area,University District,CRA,955.925021592125,1.49363284623769,5Y24,23956,13029,54.4,7161,1.2,70.7,8328,11.2,37.3,8.7,7.4,6235,87.1,926,12.9,12.1,4.9,21.1,29767,25.5,60.5,17.4,53.7,25.0605428866173,7.49117330151388,8.71198034562318,237,958,681,23.2,11386,12570,10927,1012,195,7332,98,131,1877,2384,1261,5900,4131,84,4756,11484,2682,2693,2419,2989,2661,3727,1180,640,359,235,932,678,3805,2855,240,2482,1605,1362,843,616,253,13726,1662,23956,1179,23719,8846,2065,528,55,43,430,0,3868,465,64,6728,14256,4009,2213,12043,1828,763,1028,6072,2656,2469,202,683,549,460,22317,9700,23372,10031,13341,1259,14488,4078,1587,548,469,834,271,6701,1261,188,0,10,144,34,12338,4887,2144,8731,2384,1312,17012,7899,9113,37.7,5.4,19.3,124,75,212,12,1381,41640093.9413452,44323.2810559486
45,8.2,Coummunity Reporting Area,Olympic Hills/Victory Heights,CRA,1394.05272723608,2.17820738630638,5Y24,16663,7730,46.4,7575,6,56.8,7985,50.8,32.4,9.8,5.1,3379,44.6,4196,55.4,15,6.3,11.8,67271,50,75,27.7,18.3,11.9529194803391,5.43379733922874,5.72790386188006,778,2544,2415,39.9,8497,8166,8933,1299,12,2657,42,210,1016,2494,3572,4003,2905,778,7332,9656,3197,4373,1136,825,988,3165,1519,386,304,97,4054,655,2299,965,165,228,1568,2422,1984,839,534,14106,2122,16650,1055,15885,5140,1555,385,155,56,116,58,1869,2728,648,12908,16510,11118,9871,6639,3788,2679,1109,5671,1376,1490,535,898,1479,1868,11704,153,14395,3867,10528,558,16587,793,623,448,423,508,247,13545,3572,142,0,38,54,50,11461,905,313,9461,3658,2729,10810,5897,4913,26,12.3,23.6,805,283,307,43,1787,60724936.7980652,39872.3489543766
46,9.4,Coummunity Reporting Area,Green Lake,CRA,1326.10682249358,2.07204191014621,5Y24,17660,5294,30,9075,1,82.9,9816,42.5,17.1,4.3,5.6,5184,57.1,3891,42.9,7.7,2.5,13,98723,63.5,86.9,48.8,16.3,13.3171775459179,6.843340103579,7.40211861782165,969,2484,2540,36.4,8705,8955,12366,313,22,2349,0,55,1250,1305,3516,5559,4107,136,11782,10974,4563,3703,1429,1085,1057,3147,1631,349,196,31,4169,1132,1962,2553,136,1267,2446,1851,1730,1347,434,15111,1158,17595,436,16691,2852,719,508,0,17,491,0,1990,2572,421,14206,17600,9774,9592,8008,5767,3054,2713,8683,888,905,283,388,1653,1874,12636,60,15485,3629,11846,699,17546,757,791,333,428,407,142,14688,3516,90,7,11,39,33,12550,1180,363,10585,4614,4149,12204,6391,5813,18.4,21.6,12.1,641,145,415,114,1102,57765213.1874695,33315.0862165966
47,11.2,Coummunity Reporting Area,Wallingford,CRA,809.601204154123,1.26500188149082,5Y24,18713,6774,36.2,8898,1.7,80.5,9751,32.5,22.1,3.3,2,6004,67.5,2894,32.5,8.2,4,14.8,80148,51.2,78,37.2,21.7,23.1138490209528,10.9905963014182,12.0442014537119,636,2340,1483,32.5,9164,9549,11939,346,25,3300,42,136,1425,1500,3013,5885,4085,226,10584,12561,4422,4212,1864,1628,1169,3999,2123,531,200,117,3169,1512,3309,1697,301,1742,1977,2188,1498,1001,492,16365,1337,18713,746,18077,3998,600,175,19,31,125,0,3228,2050,450,13145,18611,9022,7684,10927,4554,2349,2191,8537,1528,1945,428,321,1358,1173,14890,102,16572,3264,13308,549,18705,1361,990,345,534,561,265,14649,3013,127,15,29,26,57,14548,2159,1143,12178,4816,3247,13712,6966,6746,19.8,9.1,12.6,786,194,462,46,1119,35266228.4530945,30318.5453608658
48,13.2,Coummunity Reporting Area,Downtown Commercial Core,CRA,206.15191838841,0.32211237248189,5Y24,6534,3160,48.4,4116,7.4,64.9,4699,1.3,32.4,8.2,4.5,3265,79.3,851,20.7,17,2.8,17,120827,57.7,86.8,48.8,23.4,31.6950725032271,19.9658583445489,22.7938698641971,89,201,1069,43.6,3501,3033,3374,519,76,1859,61,18,209,418,963,3153,2584,430,3750,3979,1501,577,677,2088,662,1039,578,119,62,18,60,0,620,4019,261,1492,1476,1072,39,37,0,6206,1055,6407,179,6445,2085,526,186,0,54,116,16,1206,415,113,5777,5798,2048,1382,4416,2376,836,1540,2993,341,581,47,89,141,737,5264,736,6363,2111,4210,159,6399,672,512,83,65,110,55,4902,963,48,0,48,0,0,5194,849,84,3818,2109,1341,4424,2517,1907,0,100,16.6,82,0,0,30,684,8979977.56500244,19104.7670457017
49,3.2,Coummunity Reporting Area,Georgetown,CRA,1186.34349657232,1.85366171339424,5Y24,1295,515,39.8,766,7,50,844,47.6,14.8,4.3,2.1,336,43.9,430,56.1,17.2,10.1,9.6,79898,47.7,74.8,37.4,25.7,1.09158941212357,0.645681459217497,0.711429701801001,35,73,223,39.1,745,550,780,36,26,181,0,7,126,139,210,556,405,82,584,919,249,443,88,115,163,252,191,11,47,6,402,234,201,7,8,145,78,294,177,60,12,1222,210,1295,131,1260,186,54,16,0,0,16,0,164,270,77,1169,1295,564,764,531,365,157,208,537,146,144,49,43,73,161,999,0,1222,272,950,31,1295,101,130,49,5,42,6,962,210,7,0,0,0,7,983,200,99,843,336,300,965,534,431,0,0,21.1,10,0,5,0,162,51677122.7107849,44978.7538438156
50,5.3,Coummunity Reporting Area,Central Area/Squire Park,CRA,849.453570919864,1.32727120456229,5Y24,21891,8508,38.9,10828,2.3,69.6,11600,33.6,16.2,3.5,3.8,6294,58.1,4534,41.9,11.2,6.1,14.8,90228,58.5,75.8,48.9,18.8,25.7706845311092,12.7470180486433,13.655837584435,891,2536,2035,34.3,11022,10869,13383,2439,29,2389,17,40,1722,1872,3666,7162,4556,393,11966,14698,4768,5308,2170,1740,1779,4736,2173,873,353,16,3896,2485,2705,2514,200,1079,3062,2729,2425,1157,376,19149,2143,21679,1322,21000,3405,741,411,97,49,146,119,2537,3351,778,17204,21554,10394,10305,11249,6336,2778,3501,10883,1513,1479,530,438,1608,1564,17320,337,19601,4046,15504,661,21626,1368,1050,549,388,597,119,17555,3666,211,0,41,138,32,17104,1614,636,14350,6062,5049,16177,8500,7677,31.5,35.1,17,728,334,305,165,1844,37002197.549408,28532.0235990339
51,6.4,Coummunity Reporting Area,Miller Park,CRA,364.594611860741,0.569679081032407,5Y24,8282,1923,23.2,3843,0.6,84.2,3989,44.2,12.1,1.7,0.7,1801,46.9,2042,53.1,9.7,1.2,13.7,104939,67.2,88.6,46.6,11.5,22.7156401399683,10.540473926334,10.9409186812767,379,1170,1151,38.6,4104,4178,6359,370,0,739,0,6,482,326,1805,2038,1459,38,5420,4923,1736,1312,676,760,690,1421,636,262,100,78,1763,731,1341,154,57,382,799,924,720,683,335,7057,685,8225,99,7903,958,135,26,0,26,0,0,636,1195,236,6435,8162,5323,5363,2799,2584,1599,949,3716,340,733,4,177,682,820,5961,120,7307,2147,5160,190,8225,265,207,65,151,97,161,7279,1805,0,0,0,0,0,5844,302,88,4581,2056,1831,5524,2758,2766,50.8,27.1,13.1,180,186,255,95,505,15881741.2924805,18076.674915391
52,9.5,Coummunity Reporting Area,Haller Lake,CRA,1248.53822408242,1.95084097512878,5Y24,11019,4853,44,4466,5,58,4928,59.5,26,9.5,6.6,1865,41.8,2601,58.2,13.4,4.4,11.6,66297,57,64.3,40.3,12.3,8.82552074695042,3.57698299808336,3.94701572202302,684,1910,1293,36.6,5688,5331,6166,770,52,1906,75,51,1008,991,2645,1821,1168,413,4804,6847,2103,3265,793,479,876,1960,1130,526,242,10,2934,652,937,319,175,91,614,1394,1633,470,264,9099,1218,11009,485,10335,2687,986,293,76,0,131,86,730,1894,567,8286,10894,8070,6800,4094,2544,1702,734,4036,1033,886,428,606,1107,967,7816,125,9245,1957,7288,299,10990,527,152,153,96,285,138,9639,2645,126,10,0,81,35,7758,396,167,6548,2759,1977,7525,4087,3438,23.6,20.7,23.1,584,180,219,57,1033,54386325.0409241,35908.6321275557
53,11.1,Coummunity Reporting Area,Fremont,CRA,884.210848410094,1.38157945064077,5Y24,18742,5654,30.2,10572,1.5,83.8,11218,27.7,14.7,2.9,1.4,6540,61.9,4032,38.1,5.4,2.6,11.6,107272,62.8,87.4,51.8,12.3,21.1963018025623,11.9564242160222,12.6870191879812,654,1608,1621,33.8,9117,9625,13088,370,10,2759,0,37,1479,999,3276,7296,4976,236,13032,14010,6115,4062,1626,1239,1898,3045,2048,662,186,56,3103,2688,3839,1498,75,1175,3135,2524,2699,779,260,17046,924,18654,482,18088,2657,517,150,26,45,52,27,2370,3135,718,15545,18602,8336,8419,10183,6639,2862,3777,10822,1194,1315,186,692,1100,1196,15513,140,17417,2620,14797,588,18631,728,589,247,302,257,161,16347,3276,158,20,59,60,19,15416,953,398,13743,6058,5073,15140,7461,7679,30.4,19.1,8.1,355,155,300,71,861,38516224.556488,38676.1512856805
54,1.3,Coummunity Reporting Area,West Seattle Junction/Genesee Hill,CRA,1449.32885551525,2.26457633674258,5Y24,24038,6264,26.1,11612,2.4,64.8,12424,42,12.5,2.4,1.2,6245,53.8,5367,46.2,11.1,1.8,9.1,81159,59.9,76.8,43.3,15.1,16.5856078201481,8.01198427521255,8.57224359586985,1543,4000,3238,39.6,12058,11980,17774,1137,0,1332,25,245,1729,1796,5361,6251,4871,455,12188,14511,5373,6147,1323,982,1749,2645,2239,1554,819,132,5218,1124,3018,3064,295,1488,2826,2750,2869,1497,182,19736,2197,23736,417,22495,2813,545,141,12,49,80,0,2570,3966,1109,18818,23670,15799,13509,10161,6957,4118,2707,8790,1370,2885,558,1222,2473,2191,16800,368,20369,4868,15486,661,23737,745,570,526,452,465,835,20144,5361,123,35,35,38,15,16512,950,636,14082,6294,4683,16058,8759,7299,28.3,26.4,15.8,1133,447,447,160,1836,63132764.946167,38760.7659457346
55,2.1,Coummunity Reporting Area,North Delridge,CRA,1612.81851944537,2.52002893663339,5Y24,6421,2697,42,3316,1.4,62.3,3622,44.6,17.8,4.4,4.6,1382,41.7,1934,58.3,9.6,9.2,11.6,84770,60.1,84,43.4,13.1,3.98122908596567,2.05602797836196,2.24575794258957,247,695,647,37.5,3463,2958,3724,383,0,777,17,0,729,791,1364,1952,1436,74,3299,4098,1536,1706,476,325,646,811,701,266,107,31,1614,413,796,799,84,344,576,1134,896,221,145,5663,541,6358,586,6174,1099,272,153,0,0,153,0,634,1602,495,5294,6404,3641,3978,2426,1993,1146,847,2581,368,898,126,225,377,522,5079,17,5752,1218,4471,273,6421,277,138,42,0,317,65,5582,1364,0,0,0,0,0,5017,388,45,4047,1891,1385,4603,2599,2004,45.9,0,14.5,145,123,168,0,482,70254374.707016,64633.6615792341
56,4.4,Coummunity Reporting Area,Mt. Baker/North Rainier,CRA,629.575428718925,0.98371160737332,5Y24,7105,4028,56.7,3164,9.4,64.8,3280,58.9,27.5,11.2,11,1323,41.8,1841,58.2,11.1,6.1,9.5,97817,52.5,71.2,26.6,17.2,11.2853832533735,5.02560909411313,5.20986024927025,294,1304,1378,45,3816,3289,3077,1155,31,1510,0,102,578,652,1836,1328,1043,530,3666,3925,1380,1607,373,559,553,1152,638,99,74,29,1932,579,579,190,0,107,422,862,949,557,267,5801,646,7105,431,6811,1874,766,347,69,16,262,0,665,1144,306,5654,7079,5236,4454,2625,1661,1308,353,2494,557,543,85,279,781,947,4423,26,5902,1815,4087,129,7094,342,438,263,72,72,30,5877,1836,171,0,44,55,72,4375,477,302,3517,1792,1140,4186,2305,1881,41.6,29.2,20.6,399,284,184,76,651,27424305.6749573,29618.2112966095
57,9.3,Coummunity Reporting Area,Greenwood/Phinney Ridge,CRA,1536.7488097926,2.40117001530094,5Y24,27609,7574,27.4,12481,2.2,71.7,13621,54.1,14,3.9,2.5,5300,42.5,7181,57.5,8.1,2.9,10.4,86942,65.3,79.1,48.4,9.1,17.965850908143,8.12169166520092,8.8635175203671,1593,4449,3372,37.6,13910,13699,20035,706,109,2184,31,97,2133,2314,6426,6055,4167,473,15370,17197,6180,7285,1785,1061,1995,4460,3001,1063,449,49,7364,1690,3045,1436,335,1188,2150,3239,3699,1727,478,22913,1862,27362,807,26016,3637,1007,311,152,58,101,0,2072,5439,1097,21441,27311,18454,17209,10102,8153,5086,2929,12005,1935,2426,686,550,2815,2416,19788,298,23691,5410,18249,647,27254,814,461,192,444,320,260,24763,6426,105,43,11,38,13,19391,925,346,16403,7562,5849,18894,10129,8765,18.6,35.3,13.4,1422,325,612,334,1672,66940778.1546631,41036.2349808244
58,10.4,Coummunity Reporting Area,Ballard,CRA,503.545780451535,0.786790281955523,5Y24,11316,3968,35.1,6878,1.6,80.4,7492,11.2,15.4,3.2,3.1,5089,74,1789,26,10.5,1.5,14.4,94511,57.3,86,48.8,11.4,22.4726339477074,13.6591354093612,14.8784882941167,349,877,935,33.3,5510,5806,7348,111,0,1813,0,104,932,1008,1574,5304,3760,149,7264,8316,3360,2784,1198,1207,760,1307,1741,870,168,110,839,588,2128,3937,420,1312,2644,1839,936,102,45,10439,1094,11316,175,10967,1692,349,213,21,45,132,15,1983,1480,494,9040,11288,4183,3056,8232,3940,1353,2587,6673,554,866,80,229,600,846,9504,28,10465,1559,8906,504,11316,653,262,90,83,109,97,10022,1574,24,3,0,21,0,9475,823,295,8261,3803,3242,9225,4646,4579,19.8,0,14.8,340,84,106,0,1016,21934454.196228,23089.6586835744
59,12.1,Coummunity Reporting Area,Magnolia,CRA,1959.38109646776,3.06153296323088,5Y24,13826,3601,26,5798,0.3,80.4,6204,78.8,13.3,1.6,1.4,1278,22,4520,78,8.8,3.7,3.5,106844,73,82.5,51,8.3,7.05630978318845,2.95909765101451,3.16630593771887,954,3286,2563,43.1,6464,7362,10225,271,0,1321,41,196,940,832,3800,1998,1571,34,8270,7066,2388,3504,246,254,909,2209,1197,259,13,91,4889,339,976,0,41,49,459,1684,1796,1260,550,10537,932,13823,514,12872,1708,200,79,19,0,60,0,389,3131,970,10290,13812,11336,11225,2587,4230,3135,1019,5562,296,976,34,415,1994,1720,7977,14,10902,3411,7491,208,13804,283,172,352,49,185,100,12663,3800,65,13,34,18,0,7884,216,92,6484,3543,2589,7827,4163,3664,24.9,26.4,16.3,1006,334,420,151,946,85350640.561554,49184.5424615801
60,12.2,Coummunity Reporting Area,Interbay,CRA,1232.75161630593,1.92617440047801,5Y24,12173,4066,33.4,6522,1.1,68.9,6961,26.2,20.1,3.3,1.8,4349,66.7,2173,33.3,9.2,5.1,10.9,100599,65.3,83.7,54.1,15,9.87465750519777,5.29060348713545,5.64671739864304,471,1408,1131,35.9,6410,5763,8107,259,36,1750,1,16,810,1194,2479,4043,2655,114,7029,8845,3118,4117,967,762,1125,2331,1188,527,382,174,1824,1122,2931,1084,122,628,1929,2257,1007,632,69,10685,982,12093,617,11702,2350,385,117,21,0,96,0,1195,1493,298,10202,11963,6301,4431,7532,4262,2075,2187,6135,885,1307,117,500,998,965,9634,210,10845,1563,9239,295,12093,561,469,348,189,176,70,10280,2479,100,19,26,55,0,9556,800,397,8456,4065,2918,9358,4970,4388,21.6,28.1,13.4,532,147,141,55,873,53698660.4067383,67935.0426276
61,1.1,Coummunity Reporting Area,Arbor Heights,CRA,782.825789191343,1.22316529561147,5Y24,6124,1541,25.2,2707,1.3,70.3,2861,90.2,9.2,3.7,2.3,305,11.3,2402,88.7,9.9,2.3,3.7,84505,68,79.2,42.6,8.7,7.82294104838584,3.45798520868394,3.65470841597516,352,1359,1270,44.2,2764,3360,4583,48,0,339,0,158,539,457,1816,891,716,61,3225,2928,1143,1486,108,0,334,398,607,241,181,24,2580,89,176,16,15,0,54,680,1033,741,199,4764,473,6123,138,5772,532,214,62,10,14,30,8,145,1703,408,4587,6116,5025,5472,644,1841,1438,380,2269,117,403,121,92,893,946,3495,8,4882,1751,3131,129,6077,230,26,73,88,57,54,5549,1816,48,10,9,29,0,3368,165,23,2661,1133,1231,3275,1409,1866,27.4,10.8,17.8,479,181,255,31,482,34099891.3769379,27087.3433164424
62,1.2,Coummunity Reporting Area,Fauntleroy/Seaview,CRA,1396.2624542175,2.18166008471485,5Y24,15416,3267,21.2,7050,2,70,7458,68.2,9.9,2.3,0.9,2201,31.2,4849,68.8,9.8,2.8,6.1,90207,68.3,83,50.8,10.6,11.0409042035292,5.04919399551639,5.34140266929946,894,2709,2710,42.5,7827,7589,12149,208,0,664,97,15,1113,1170,3787,3263,2236,251,8613,9046,3487,4027,552,452,1059,1763,1479,928,296,34,5089,947,1261,142,15,290,807,1675,2620,1325,333,12638,1233,15347,426,14522,1444,333,60,0,14,46,0,1060,3804,762,12298,15316,10827,11788,3528,4816,3145,1659,5880,1011,1413,393,387,1681,1885,9997,100,12918,3412,9486,402,15356,371,468,203,223,320,38,13733,3787,33,12,9,12,0,9826,651,244,8240,3855,3171,9900,5099,4801,22.6,17,15.6,950,277,333,68,1103,60821192.5058289,48208.620629876
63,7.1,Coummunity Reporting Area,Montlake/Portage Bay,CRA,839.527398616062,1.3117615603376,5Y24,10553,2595,24.6,5016,0.9,84.6,5266,47.2,14.1,3,1.1,1942,38.7,3074,61.3,8.9,0.2,11.2,113903,66.5,82.6,50.2,13.1,12.570167474458,5.97479011199484,6.27257670051133,284,1445,1374,39.5,5417,5136,7958,327,7,1055,0,47,685,474,2458,2558,1795,76,6919,6401,2297,2318,719,417,1000,1851,928,118,142,65,2484,698,1751,319,64,413,1167,1135,987,975,339,9081,804,10548,24,10269,1447,305,55,10,12,21,12,621,1928,428,8176,10521,6880,7447,3074,3334,2030,1283,4978,479,769,84,249,808,1013,7734,32,9327,2357,6970,411,10526,413,645,90,135,71,22,9150,2458,123,41,26,45,11,7633,808,491,6196,2580,2304,7281,3782,3499,34,59,14.9,444,229,148,213,745,36569813.483429,51754.9042180636
64,7.4,Coummunity Reporting Area,Wedgwood/View Ridge,CRA,1507.46693127598,2.35541708011872,5Y24,17668,5800,32.8,7083,1.4,80,7292,78.3,20.1,4,2,1901,26.8,5182,73.2,8.6,1.8,8.7,89394,71.3,86.4,38.3,7.8,11.7203234335927,4.69861053204309,4.8372537060085,1039,3790,2741,41.3,9141,8527,11868,300,12,2870,25,34,1127,1432,4832,2251,1606,186,10572,9719,3691,3958,842,445,972,2762,1566,391,297,40,5708,385,742,450,42,401,455,1274,2125,2145,683,13843,1192,17597,321,16629,3347,667,143,0,9,134,0,702,3474,809,13219,17580,14368,13896,3684,5053,4176,862,7639,589,1256,182,315,2253,1829,11137,88,14355,3981,10359,378,17600,215,363,87,212,222,270,16231,4832,37,8,23,6,0,10969,489,193,9219,4580,3278,10943,5770,5173,27.4,36.6,15.2,1215,459,577,333,1075,65665259.5263062,41990.5613047982
65,10.3,Coummunity Reporting Area,Sunset Hill/Loyal Heights,CRA,1041.20916265674,1.62688931665116,5Y24,16256,3973,24.4,7698,1.8,74.9,7993,53.4,12,1.8,1.4,2773,36,4925,64,10.3,1.6,7.7,102189,67.5,82.7,52.8,7.3,15.612617121541,7.3933271777573,7.67665161494078,876,3108,2662,42,8162,8094,12283,154,43,1417,0,23,1326,1010,3801,3897,3166,229,9494,9289,4021,3556,718,985,871,1860,1778,408,273,78,4265,1381,1145,1069,173,410,1396,2004,2204,1412,272,13118,1347,16226,265,15380,1843,278,107,53,0,54,0,1049,3540,822,12671,16237,11544,11841,4396,5199,3143,2056,6884,492,1347,156,552,1850,2039,10486,19,13643,3802,9819,388,16239,301,337,97,52,304,88,15060,3801,103,19,14,70,0,10384,316,128,8839,4359,3528,10199,5425,4774,27.5,7.4,16.5,927,352,661,53,1269,45355071.1248474,42257.766328793
66,11.3,Coummunity Reporting Area,Cascade/Eastlake,CRA,721.635585990083,1.12755560310951,5Y24,29688,17525,59,19681,1.8,80.3,22646,3.5,41.7,8.2,7.9,17354,88.2,2327,11.8,8,3.7,7.6,124718,65.2,78.6,62.1,16.4,41.1398780442182,27.2727681146679,31.3814901033874,217,532,2566,31.6,16476,13212,12163,1205,286,12427,54,149,1378,2026,3703,15978,11547,469,20514,22746,8890,3840,1737,8708,5037,5850,2312,342,175,140,791,701,3202,17918,985,6290,7790,4905,554,93,49,28668,2300,29469,1089,29471,12282,2431,1546,180,200,1114,52,5234,1704,424,25546,28727,8022,4181,24546,12828,2910,9916,18212,872,2909,417,563,389,1657,26590,961,29169,5065,24068,1095,29207,2052,651,399,973,523,197,24412,3703,149,17,80,52,0,26208,2201,698,22494,11831,7642,24769,14146,10623,17.2,0,9.3,173,36,41,0,1834,31434446.1262207,36327.1105203295
67,13.3,Coummunity Reporting Area,Pioneer Square/International District,CRA,180.802888353606,0.282504513052509,5Y24,6710,4418,65.8,4415,23.5,36.7,5080,1,43.7,26.1,23.7,4131,93.6,284,6.4,30.8,10.8,34.5,42518,19.3,30.2,16.2,53.3,37.1122389752807,24.4188576864179,28.0968962733868,128,343,1530,40.9,3992,2718,2292,536,22,2751,84,51,649,325,827,3588,3218,1375,2144,3338,671,680,1153,3070,755,796,538,449,66,63,52,38,1275,3715,272,1607,2093,635,52,0,28,6312,1941,6655,717,6582,2875,1721,1047,20,31,976,20,2112,190,46,5845,6154,2149,400,5754,851,250,583,1451,816,526,258,354,236,1195,4837,556,6382,2539,3798,393,6694,936,1446,612,245,238,93,3124,827,294,0,227,47,20,4784,1366,462,3201,1311,597,3947,2553,1394,11.4,0,34.8,155,20,108,0,1537,7875773.81622314,17697.5216096717
68,4.1,Coummunity Reporting Area,Rainier Beach,CRA,1363.94419769953,2.13116280890551,5Y24,16710,12027,72,6181,13.3,38.5,6517,70.3,36.7,19.4,10.2,1979,32,4202,68,13.8,7.3,10.7,53808,52.7,61.2,33.6,26,12.251234345352,4.5317103224788,4.77805471146972,923,3567,2477,38.9,7719,8991,4683,4136,171,4546,0,231,1184,1759,4237,1944,1533,1599,4620,8765,1692,4463,935,516,757,2762,2222,827,376,129,4580,661,761,485,349,160,701,1539,1895,1396,490,13115,1807,16682,1222,15787,5792,3055,633,99,0,396,138,1169,3047,1082,12004,16571,14082,10982,5589,3259,2595,653,3885,1856,1671,498,1030,2097,1953,10666,139,13521,4152,9341,401,16708,867,1085,751,456,946,240,12363,4237,316,92,9,199,16,10525,872,373,8220,2554,2273,9583,4556,5027,11.5,9.7,23.3,1383,180,640,69,1438,59413409.2515259,55048.0896757143
69,6.5,Coummunity Reporting Area,Madison Park,CRA,637.059995315288,0.995406242680137,5Y24,6006,1049,17.5,2710,1.7,83.8,2917,53.8,18.2,1.8,0.6,1191,43.9,1519,56.1,7.3,1.8,4.1,194445,79.3,86.7,65.8,5.7,9.42768349004173,4.25391645987564,4.57884661013182,154,1267,1236,44.3,2878,3128,4957,36,0,435,0,0,369,209,1741,969,743,74,3755,2611,952,1272,108,35,392,743,356,143,25,0,1568,135,886,309,0,97,521,627,493,783,189,4626,336,5893,106,5852,1065,106,17,17,0,0,0,338,966,277,4480,5893,4676,3898,1995,2148,1510,638,2127,151,320,19,29,803,713,3503,113,5120,2034,3086,440,5893,29,99,19,13,176,0,5557,1741,0,0,0,0,0,3481,99,0,2508,1254,1066,3305,1822,1483,67.5,90.2,12.3,176,366,44,405,334,27750333.3955383,36285.8489218384
